Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jørgen Strand Larsen,9,no NOR,FW,25-054,90,0,0,0,2,2,0,0,0,0,0,0,0,2,2,3,40.0
Jean-Ricner Bellegarde,27,fr FRA,AM,26-278,89,0,0,0,2,3,0,2,0,1,0,0,0,4,0,0,
Boubacar Traoré,6,ml MLI,CM,23-224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Marshall Munetsi,5,zw ZIM,"AM,CM",28-283,90,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1,0.0
André,7,br BRA,CM,23-259,70,1,0,0,3,1,0,0,2,0,0,0,0,7,0,0,
Pablo Sarabia,21,es ESP,"CM,FW",32-325,20,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,
João Gomes,8,br BRA,CM,24-048,90,1,0,0,2,1,0,0,3,2,0,0,0,8,0,0,
Rayan Aït-Nouri,3,dz ALG,WB,23-299,81,0,0,0,0,0,0,2,1,3,0,0,0,3,1,0,100.0
Santiago Bueno,4,uy URU,"WB,CB",26-143,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Nélson Semedo,22,pt POR,"WB,LB",31-136,90,0,0,0,3,3,0,4,2,0,0,0,0,5,0,3,0.0
Toti Gomes,24,pt POR,CB,26-075,90,0,0,0,0,0,0,0,1,2,0,0,0,3,1,0,100.0
Emmanuel Agbadou,12,ci CIV,CB,27-288,90,0,0,0,1,1,0,0,1,2,0,0,0,2,1,2,33.3
Matt Doherty,2,ie IRL,"CB,RB",33-075,90,1,0,0,2,0,0,0,1,2,0,0,0,5,3,0,100.0
José Sá,1,pt POR,GK,32-074,90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
