Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Jørgen Strand Larsen,9,no NOR,FW,25-058,89,37,2,2,18,17,10,37,0,0,,0,,24,49,18,1,0,0,8,2,29,11
Nasser Djiga,34,bf BFA,"CB,FW",22-141,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Jean-Ricner Bellegarde,27,fr FRA,AM,26-282,64,42,1,5,20,18,2,42,2,2,100.0,0,0.0,26,144,55,4,2,1,3,1,28,2
Pablo Sarabia,21,es ESP,"AM,FW",32-329,26,19,0,1,9,10,3,19,1,1,100.0,0,0.0,17,87,15,0,0,0,0,0,17,2
Marshall Munetsi,5,zw ZIM,AM,28-287,90,40,4,6,21,13,2,40,0,0,,0,,15,50,13,1,1,0,6,1,18,3
André,7,br BRA,CM,23-263,90,65,0,18,42,7,1,65,2,1,50.0,1,50.0,45,163,48,0,0,0,3,1,44,1
João Gomes,8,br BRA,CM,24-052,90,71,0,15,33,24,3,71,5,1,20.0,4,80.0,52,327,130,4,4,0,1,1,53,3
Rayan Aït-Nouri,3,dz ALG,WB,23-303,87,60,2,14,17,29,8,60,4,2,50.0,1,25.0,24,166,82,4,0,4,3,0,28,7
Santiago Bueno,4,uy URU,CB,26-147,3,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Nélson Semedo,22,pt POR,"WB,CB",31-140,90,45,4,14,21,10,2,45,0,0,,0,,23,151,102,5,2,0,1,0,21,2
Toti Gomes,24,pt POR,CB,26-079,90,68,5,24,36,9,3,68,1,1,100.0,0,0.0,50,230,154,2,2,0,0,0,55,0
Emmanuel Agbadou,12,ci CIV,CB,27-292,90,74,5,27,44,4,2,74,0,0,,0,,41,117,43,0,0,0,0,0,39,0
Matt Doherty,2,ie IRL,CB,33-079,64,30,2,13,13,5,1,30,1,1,100.0,0,0.0,19,103,62,1,3,0,0,0,16,0
Rodrigo Gomes,19,pt POR,"WB,LM",21-272,26,14,0,3,4,9,1,14,0,0,,0,,8,74,57,2,2,0,0,0,6,0
José Sá,1,pt POR,GK,32-078,90,21,14,21,0,0,0,21,0,0,,0,,15,59,34,0,0,0,0,0,13,0
