Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jørgen Strand Larsen,9,no NOR,FW,24-193,83,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Chiquinho,23,pt POR,LM,24-194,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rodrigo Gomes,19,pt POR,"LW,LM",21-041,74,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
Daniel Podence,10,pt POR,RM,28-301,16,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Hwang Hee-chan,11,kr KOR,"RW,RM,FW,LM",28-204,90,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
Jean-Ricner Bellegarde,27,fr FRA,AM,26-051,56,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0
Matheus Cunha,12,br BRA,FW,25-082,34,2,1,1,0,1,0,0,,0,0,0,0,0,2,2,0
Mario Lemina,5,ga GAB,"DM,CM",30-351,90,2,0,2,0,0,1,2,50.0,1,3,3,0,5,7,2,0
João Gomes,8,br BRA,"DM,CM",23-187,83,2,2,2,0,0,0,3,0.0,3,1,1,0,0,2,0,0
Pablo Sarabia,21,es ESP,CM,32-098,7,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Rayan Aït-Nouri,3,dz ALG,LB,23-072,83,4,3,3,1,0,3,4,75.0,1,1,0,1,1,5,1,0
Craig Dawson,15,eng ENG,CB,34-103,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Toti Gomes,24,pt POR,"CB,LB",25-214,90,2,1,1,1,0,2,2,100.0,0,0,0,0,0,2,1,0
Yerson Mosquera,14,co COL,CB,23-107,90,3,2,3,0,0,3,3,100.0,0,2,2,0,0,3,0,0
Matt Doherty,2,ie IRL,RB,32-214,90,2,2,1,1,0,1,1,100.0,0,1,0,1,1,3,4,0
José Sá,1,pt POR,GK,31-213,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
