Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jørgen Strand Larsen,9,no NOR,FW,24-207,85,13,13,0,0,0,0,0,0,0,0,0,0,9,0,0
André,7,br BRA,FW,23-046,5,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Matheus Cunha,12,br BRA,FW,25-096,90,35,27,8,2,3,1,3,2,2,2,0,0,28,0,0
Rayan Aït-Nouri,3,dz ALG,LM,23-086,59,18,15,3,3,0,0,2,0,0,0,0,0,15,0,0
Hwang Hee-chan,11,kr KOR,LM,28-218,31,7,7,0,0,0,0,1,0,0,0,0,0,5,0,1
Mario Lemina,5,ga GAB,CM,30-365,90,33,33,0,0,0,0,0,0,0,0,0,0,26,0,2
João Gomes,8,br BRA,CM,23-201,59,20,20,0,0,0,1,0,0,0,0,0,0,18,0,2
Tommy Doyle,20,eng ENG,CM,22-319,31,23,19,4,3,0,0,1,0,1,1,0,0,14,0,1
Jean-Ricner Bellegarde,27,fr FRA,RM,26-065,74,21,21,0,0,0,0,0,0,0,0,0,0,18,0,1
Gonçalo Guedes,29,pt POR,RM,27-276,16,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Toti Gomes,24,pt POR,LB,25-228,90,37,34,3,0,0,0,0,3,0,0,0,0,29,0,0
Craig Dawson,15,eng ENG,CB,34-117,90,52,41,11,5,0,2,0,0,0,0,0,0,42,0,0
Yerson Mosquera,14,co COL,CB,23-121,90,39,37,2,2,0,1,0,0,0,0,0,0,34,0,0
Nélson Semedo,22,pt POR,RB,30-289,74,34,28,6,0,0,0,0,6,0,0,0,0,27,0,0
Matt Doherty,2,ie IRL,RB,32-228,16,13,7,6,0,0,0,0,6,0,0,0,0,6,0,0
Sam Johnstone,31,eng ENG,GK,31-159,90,32,27,5,4,0,0,0,0,0,0,0,0,16,0,0
