Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jørgen Strand Larsen,9,no NOR,FW,24-320,83,10,10,0,0,0,0,0,0,0,0,0,0,8,0,2
Tommy Doyle,20,eng ENG,"AM,CM",23-066,7,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0
Matheus Cunha,10,br BRA,"AM,FW,WB",25-209,90,53,49,4,3,0,1,4,0,1,0,0,0,43,0,1
Gonçalo Guedes,29,pt POR,AM,28-023,73,26,25,1,0,0,0,3,0,0,0,0,0,14,0,0
Hwang Hee-chan,11,kr KOR,"AM,FW",28-331,17,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
João Gomes,8,br BRA,CM,23-314,88,53,52,1,1,0,0,0,0,0,0,0,0,49,0,1
Jean-Ricner Bellegarde,27,fr FRA,AM,26-178,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
André,7,br BRA,CM,23-159,90,59,58,1,1,0,1,0,0,0,0,0,0,52,0,1
Rodrigo Gomes,19,pt POR,WB,21-168,83,24,21,3,0,0,0,0,3,0,0,0,0,20,0,1
Craig Dawson,15,eng ENG,"CB,WB",34-230,7,10,10,0,0,0,1,0,0,0,0,0,0,9,0,0
Nélson Semedo,22,pt POR,WB,31-036,88,35,30,5,0,0,0,1,5,0,0,0,0,24,0,2
Carlos Forbs,26,pt POR,AM,20-278,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toti Gomes,24,pt POR,CB,25-341,90,72,68,4,4,0,0,0,0,0,0,0,0,61,0,0
Santiago Bueno,4,uy URU,CB,26-043,90,50,46,4,2,0,0,0,0,0,0,0,0,46,0,0
Matt Doherty,2,ie IRL,"CB,WB",32-341,90,60,57,2,2,0,3,0,0,0,0,0,0,50,1,3
José Sá,1,pt POR,GK,31-340,90,37,32,5,2,0,0,0,0,0,0,0,0,28,0,0
