Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jørgen Strand Larsen,9,no NOR,FW,24-307,61,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Gonçalo Guedes,29,pt POR,"FW,AM",28-010,29,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Matheus Cunha,10,br BRA,"AM,FW",25-196,90,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
João Gomes,8,br BRA,AM,23-301,77,1,0,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0
Tommy Doyle,20,eng ENG,"CM,AM",23-053,13,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0
Mario Lemina,5,ga GAB,CM,31-099,90,6,3,3,3,0,2,3,66.7,1,1,0,1,0,6,5,1
André,7,br BRA,CM,23-146,61,2,2,0,0,2,0,1,0.0,1,0,0,0,0,2,0,0
Jean-Ricner Bellegarde,27,fr FRA,"CM,AM",26-165,29,1,1,1,0,0,0,0,,0,1,1,0,1,2,0,0
Rayan Aït-Nouri,3,dz ALG,WB,23-186,85,2,1,1,1,0,0,1,0.0,1,3,1,2,0,2,1,0
Rodrigo Gomes,19,pt POR,WB,21-155,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Matt Doherty,2,ie IRL,WB,32-328,90,2,1,1,1,0,0,1,0.0,1,1,1,0,1,3,4,0
Toti Gomes,24,pt POR,CB,25-328,90,2,1,1,1,0,1,1,100.0,0,3,3,0,0,2,5,0
Santiago Bueno,4,uy URU,CB,26-030,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
Nélson Semedo,22,pt POR,CB,31-023,90,2,0,2,0,0,2,2,100.0,0,4,2,2,1,3,2,0
Sam Johnstone,31,eng ENG,GK,31-259,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
