Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Marshall Munetsi,5,zw ZIM,"CM,FW",28-245,90,0,0,0,1,1,0,0,1,3,0,0,0,4,5,3,62.5
Matheus Cunha,10,br BRA,"AM,FW",25-271,88,0,0,0,2,2,0,8,0,1,0,0,0,2,1,2,33.3
Tommy Doyle,20,eng ENG,AM,23-128,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Jean-Ricner Bellegarde,27,fr FRA,"AM,CM",26-240,79,0,0,0,1,4,0,2,0,2,0,0,0,6,1,3,25.0
Pablo Sarabia,21,es ESP,AM,32-287,11,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,
João Gomes,8,br BRA,CM,24-010,45,1,0,0,1,1,0,0,0,1,0,0,0,3,0,1,0.0
Jørgen Strand Larsen,9,no NOR,FW,25-016,45,0,0,0,1,1,0,0,0,1,0,0,0,1,1,2,33.3
André,7,br BRA,CM,23-221,90,0,0,0,0,1,0,0,0,1,0,0,0,8,0,0,
Rayan Aït-Nouri,3,dz ALG,WB,23-261,79,0,0,0,0,2,0,3,0,1,0,0,0,3,0,2,0.0
Pedro Lima,37,br BRA,WB,18-236,11,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0.0
Nélson Semedo,22,pt POR,WB,31-098,90,0,0,0,1,2,0,1,1,0,0,0,0,5,2,0,100.0
Toti Gomes,24,pt POR,CB,26-037,90,0,0,0,0,0,0,0,4,2,0,0,0,5,1,0,100.0
Santiago Bueno,4,uy URU,CB,26-105,72,1,0,0,1,1,0,0,1,2,0,0,0,3,2,0,100.0
Nasser Djiga,34,bf BFA,CB,22-099,18,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,100.0
Matt Doherty,2,ie IRL,CB,33-037,90,1,0,0,1,0,0,1,0,1,0,0,0,3,3,2,60.0
José Sá,1,pt POR,GK,32-036,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
