Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Marshall Munetsi,5,zw ZIM,"FW,AM",28-248,90,21,0,1,11,9,3,21,0,0,,0,,6,13,2,0,0,0,1,1,14,1
Matheus Cunha,10,br BRA,AM,25-274,90,58,0,0,24,35,3,58,5,2,40.0,1,20.0,38,211,74,2,5,2,4,2,45,8
João Gomes,8,br BRA,"AM,CM",24-013,90,78,0,4,41,35,6,78,4,1,25.0,3,75.0,32,172,55,2,3,0,1,1,59,4
Jean-Ricner Bellegarde,27,fr FRA,CM,26-243,64,35,0,4,21,10,2,35,2,1,50.0,1,50.0,18,56,34,1,0,0,1,1,26,3
Jørgen Strand Larsen,9,no NOR,FW,25-019,26,8,0,0,2,6,0,8,1,0,0.0,1,100.0,4,5,3,0,0,0,1,0,6,3
André,7,br BRA,CM,23-224,76,77,1,11,58,8,0,77,3,1,33.3,1,33.3,46,214,93,1,0,0,3,1,62,2
Tommy Doyle,20,eng ENG,CM,23-131,14,20,2,4,13,3,0,20,0,0,,0,,11,76,27,0,0,0,1,0,13,1
Rayan Aït-Nouri,3,dz ALG,WB,23-264,90,70,0,12,32,27,5,70,3,2,66.7,1,33.3,35,128,67,1,3,0,1,1,48,9
Nélson Semedo,22,pt POR,"WB,CB",31-101,90,79,2,10,36,35,1,79,5,2,40.0,2,40.0,39,165,85,3,2,0,3,2,60,8
Toti Gomes,24,pt POR,CB,26-040,90,83,6,27,51,5,0,83,1,1,100.0,0,0.0,52,272,170,0,0,0,0,0,62,2
Santiago Bueno,4,uy URU,CB,26-108,76,52,4,21,31,0,0,52,0,0,,0,,36,215,150,0,0,0,0,0,41,0
Pablo Sarabia,21,es ESP,WB,32-290,14,17,0,2,9,6,0,17,0,0,,0,,9,37,8,0,0,0,1,0,11,3
Matt Doherty,2,ie IRL,CB,33-040,90,94,5,26,62,7,1,94,0,0,,0,,52,331,238,6,1,0,0,1,69,0
José Sá,1,pt POR,GK,32-039,90,25,19,25,0,0,0,25,0,0,,0,,15,106,91,0,0,0,0,0,14,0
