Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jørgen Strand Larsen,9,no NOR,FW,24-344,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Hwang Hee-chan,11,kr KOR,AM,28-355,45,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
Matheus Cunha,10,br BRA,AM,25-233,45,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Gonçalo Guedes,29,pt POR,AM,28-047,68,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,0,0
Jean-Ricner Bellegarde,27,fr FRA,"AM,CM",26-202,22,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0
João Gomes,8,br BRA,CM,23-338,85,1,0,0,0,1,0,5,0.0,5,4,0,4,3,4,0,0
Tommy Doyle,20,eng ENG,CM,23-090,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
André,7,br BRA,CM,23-183,85,6,1,5,1,0,0,2,0.0,2,0,0,0,2,8,1,0
Pablo Sarabia,21,es ESP,AM,32-249,5,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
Rayan Aït-Nouri,3,dz ALG,WB,23-223,90,2,1,1,1,0,0,0,,0,1,0,1,0,2,1,0
Rodrigo Gomes,19,pt POR,WB,21-192,68,3,2,2,1,0,2,3,66.7,1,2,0,2,0,3,1,0
Nélson Semedo,22,pt POR,WB,31-060,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Emmanuel Agbadou,12,ci CIV,CB,27-212,90,4,1,4,0,0,1,3,33.3,2,3,1,2,1,5,3,0
Santiago Bueno,4,uy URU,CB,26-067,90,6,3,3,3,0,2,3,66.7,1,4,3,1,1,7,3,0
Matt Doherty,2,ie IRL,CB,32-365,90,1,0,1,0,0,1,1,100.0,0,4,2,2,0,1,3,0
José Sá,1,pt POR,GK,31-364,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
