Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jørgen Strand Larsen,9,no NOR,FW,24-344,90,27,26,1,0,0,0,0,0,0,0,0,0,17,0,1
Hwang Hee-chan,11,kr KOR,AM,28-355,45,13,13,0,0,0,0,0,0,0,0,0,0,9,0,0
Matheus Cunha,10,br BRA,AM,25-233,45,19,14,4,0,0,0,3,2,2,2,0,0,13,1,0
Gonçalo Guedes,29,pt POR,AM,28-047,68,26,23,3,0,0,0,1,0,0,0,0,0,19,0,0
Jean-Ricner Bellegarde,27,fr FRA,"AM,CM",26-202,22,13,13,0,0,0,0,1,0,0,0,0,0,10,0,1
João Gomes,8,br BRA,CM,23-338,85,38,36,2,0,0,0,1,2,0,0,0,0,31,0,0
Tommy Doyle,20,eng ENG,CM,23-090,5,5,4,1,1,0,0,0,0,0,0,0,0,4,0,1
André,7,br BRA,CM,23-183,85,31,29,2,2,1,0,0,0,0,0,0,0,30,0,1
Pablo Sarabia,21,es ESP,AM,32-249,5,6,5,1,1,1,0,0,0,0,0,0,0,4,0,1
Rayan Aït-Nouri,3,dz ALG,WB,23-223,90,43,34,9,0,0,0,2,9,0,0,0,0,35,0,2
Rodrigo Gomes,19,pt POR,WB,21-192,68,26,23,3,0,0,0,2,3,0,0,0,0,18,0,1
Nélson Semedo,22,pt POR,WB,31-060,22,11,8,3,0,0,0,0,3,0,0,0,0,11,0,0
Emmanuel Agbadou,12,ci CIV,CB,27-212,90,43,41,2,2,0,2,0,0,0,0,0,0,35,0,0
Santiago Bueno,4,uy URU,CB,26-067,90,26,26,0,0,0,0,0,0,0,0,0,0,25,0,1
Matt Doherty,2,ie IRL,CB,32-365,90,41,38,3,3,0,0,0,0,0,0,0,0,35,0,0
José Sá,1,pt POR,GK,31-364,90,45,31,14,4,0,0,0,0,0,0,0,0,25,0,0
