Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jørgen Strand Larsen,9,no NOR,FW,24-335,90,17,16,1,0,0,0,0,0,0,0,0,0,13,0,0
Hwang Hee-chan,11,kr KOR,AM,28-346,74,30,29,1,0,0,0,2,1,0,0,0,0,24,0,0
Carlos Forbs,26,pt POR,AM,20-293,16,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0
Gonçalo Guedes,29,pt POR,AM,28-038,74,34,31,3,0,0,0,3,0,0,0,0,0,28,0,1
Pablo Sarabia,21,es ESP,AM,32-240,16,19,15,3,1,1,0,3,1,1,0,1,0,11,1,0
João Gomes,8,br BRA,CM,23-329,90,74,71,3,0,0,0,2,3,0,0,0,0,60,0,2
Tommy Doyle,20,eng ENG,CM,23-081,58,33,31,2,1,0,0,1,1,0,0,0,0,27,0,0
Mario Lemina,5,ga GAB,CM,31-127,32,25,25,0,0,1,0,1,0,0,0,0,0,19,0,0
Rodrigo Gomes,19,pt POR,WB,21-183,90,43,39,4,1,0,0,4,3,0,0,0,0,32,0,0
Pedro Lima,37,br BRA,WB,18-189,58,26,20,6,0,0,0,5,6,0,0,0,0,19,0,1
Jean-Ricner Bellegarde,27,fr FRA,WB,26-193,32,15,15,0,0,0,0,0,0,0,0,0,0,13,0,0
Rayan Aït-Nouri,3,dz ALG,CB,23-214,90,80,73,7,1,0,0,8,2,4,4,0,0,64,0,0
Santiago Bueno,4,uy URU,CB,26-058,90,74,72,2,2,0,0,0,0,0,0,0,0,67,0,0
Matt Doherty,2,ie IRL,CB,32-356,90,86,82,4,3,0,0,1,1,0,0,0,0,80,0,1
José Sá,1,pt POR,GK,31-355,90,38,27,11,2,0,0,0,0,0,0,0,0,30,0,0
