Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jørgen Strand Larsen,9,no NOR,FW,24-298,90,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0
Rodrigo Gomes,19,pt POR,"WB,LW",21-146,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Craig Dawson,15,eng ENG,CB,34-208,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jean-Ricner Bellegarde,27,fr FRA,"AM,WB,RW",26-156,63,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Carlos Forbs,26,pt POR,LW,20-256,27,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Matheus Cunha,10,br BRA,AM,25-187,90,2,1,0,2,0,1,1,100.0,0,0,0,0,1,3,1,0
João Gomes,8,br BRA,"DM,CM",23-292,90,4,1,2,2,0,1,2,50.0,1,0,0,0,0,4,0,0
André,7,br BRA,"CM,DM",23-137,81,7,6,4,3,0,3,3,100.0,0,4,1,3,1,8,0,1
Hwang Hee-chan,11,kr KOR,DM,28-309,9,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Rayan Aït-Nouri,3,dz ALG,"LB,CB,AM",23-177,90,5,3,3,1,1,2,4,50.0,2,1,0,1,0,5,2,0
Toti Gomes,24,pt POR,CB,25-319,63,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
Gonçalo Guedes,29,pt POR,RW,28-001,27,2,0,1,1,0,0,0,,0,0,0,0,0,2,0,0
Mario Lemina,5,ga GAB,CB,31-090,90,3,3,3,0,0,1,1,100.0,0,0,0,0,2,5,7,1
Nélson Semedo,22,pt POR,"RB,WB",31-014,90,5,4,4,1,0,3,3,100.0,0,0,0,0,1,6,6,0
José Sá,1,pt POR,GK,31-318,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
