Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jørgen Strand Larsen,9,no NOR,FW,24-277,72,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0
Gonçalo Guedes,29,pt POR,FW,27-346,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2
Rayan Aït-Nouri,3,dz ALG,LW,23-156,89,29,28,0,0,0,1,0,0,0,0,0,0,21,1,1
Matt Doherty,2,ie IRL,LW,32-298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Sarabia,21,es ESP,RW,32-182,45,11,10,0,0,0,0,1,0,0,0,0,0,6,1,0
Jean-Ricner Bellegarde,27,fr FRA,RW,26-135,45,6,6,0,0,0,0,1,0,0,0,0,0,4,0,0
Matheus Cunha,10,br BRA,AM,25-166,89,18,16,2,1,1,2,1,0,1,0,0,0,16,0,1
Rodrigo Gomes,19,pt POR,AM,21-125,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
João Gomes,8,br BRA,DM,23-271,90,30,28,2,1,0,0,0,0,0,0,0,0,19,0,1
Mario Lemina,5,ga GAB,DM,31-069,90,23,21,1,1,0,0,0,0,0,0,0,0,17,1,0
Toti Gomes,24,pt POR,LB,25-298,90,45,38,7,1,0,0,0,6,0,0,0,0,36,0,0
Craig Dawson,15,eng ENG,CB,34-187,90,38,37,1,1,0,1,0,0,0,0,0,0,35,0,0
Santiago Bueno,4,uy URU,CB,26-000,90,31,29,2,1,0,0,0,0,0,0,0,0,27,0,1
Nélson Semedo,22,pt POR,RB,30-359,90,26,22,4,0,0,0,0,4,0,0,0,0,23,0,0
José Sá,1,pt POR,GK,31-297,90,28,17,11,5,0,0,0,0,0,0,0,0,15,0,0
