Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Jørgen Strand Larsen,9,no NOR,FW,24-277,72,15,2,3,9,4,1,15,0,0,,0,,6,57,39,1,1,0,1,0,9,0
Gonçalo Guedes,29,pt POR,FW,27-346,18,4,0,1,3,0,0,4,0,0,,0,,2,8,0,0,0,0,1,0,3,0
Rayan Aït-Nouri,3,dz ALG,LW,23-156,89,40,4,8,22,11,4,40,6,4,66.7,1,16.7,24,151,115,2,0,2,0,3,25,5
Matt Doherty,2,ie IRL,LW,32-298,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Pablo Sarabia,21,es ESP,RW,32-182,45,18,1,3,9,6,1,18,3,1,33.3,1,33.3,11,30,11,0,0,0,0,0,11,4
Jean-Ricner Bellegarde,27,fr FRA,RW,26-135,45,18,1,4,4,11,3,18,6,1,16.7,1,16.7,11,47,10,0,1,0,3,1,9,3
Matheus Cunha,10,br BRA,AM,25-166,89,31,0,1,16,14,6,31,5,2,40.0,2,40.0,15,217,125,4,2,2,0,2,15,2
Rodrigo Gomes,19,pt POR,AM,21-125,1,2,0,0,2,0,0,2,0,0,,0,,2,8,0,0,0,0,0,1,2,0
João Gomes,8,br BRA,DM,23-271,90,41,3,7,23,11,1,41,1,1,100.0,0,0.0,18,125,74,1,0,0,1,1,24,2
Mario Lemina,5,ga GAB,DM,31-069,90,30,2,7,19,4,1,30,1,1,100.0,0,0.0,12,56,31,1,0,0,2,1,14,1
Toti Gomes,24,pt POR,LB,25-298,90,56,8,27,24,6,0,56,1,1,100.0,0,0.0,28,113,49,0,1,0,2,1,31,0
Craig Dawson,15,eng ENG,CB,34-187,90,52,12,39,13,0,0,52,1,0,0.0,0,0.0,33,125,35,0,0,0,0,0,33,0
Santiago Bueno,4,uy URU,CB,26-000,90,37,6,22,13,2,0,37,0,0,,0,,19,57,16,0,0,0,0,0,24,1
Nélson Semedo,22,pt POR,RB,30-359,90,36,7,15,16,5,0,36,1,1,100.0,0,0.0,15,117,26,0,0,0,1,1,14,1
José Sá,1,pt POR,GK,31-297,90,29,22,28,1,0,0,29,0,0,,0,,15,88,63,0,0,0,0,0,12,0
