Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jørgen Strand Larsen,9,no NOR,FW,24-263,89,1,1,0,1,0,1,2,50.0,1,2,1,1,0,1,0,0
André,7,br BRA,"CM,FW",23-102,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Matheus Cunha,10,br BRA,"FW,AM",25-152,90,1,0,1,0,0,0,1,0.0,1,2,0,2,0,1,0,0
João Gomes,8,br BRA,"CM,AM",23-257,89,2,0,1,1,0,0,3,0.0,3,1,0,1,1,3,0,0
Gonçalo Guedes,29,pt POR,"CM,FW",27-332,1,2,0,0,0,2,2,2,100.0,0,0,0,0,0,2,0,0
Mario Lemina,5,ga GAB,CM,31-055,45,4,4,3,1,0,1,1,100.0,0,0,0,0,0,4,2,0
Pablo Sarabia,21,es ESP,RM,32-168,45,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,1
Tommy Doyle,20,eng ENG,CM,23-009,90,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
Rayan Aït-Nouri,3,dz ALG,"LB,WB",23-142,90,2,1,2,0,0,1,1,100.0,0,0,0,0,1,3,1,0
Nélson Semedo,22,pt POR,"RB,WB",30-345,90,6,3,4,0,2,3,5,60.0,2,2,1,1,1,7,12,0
Toti Gomes,24,pt POR,CB,25-284,45,3,2,2,1,0,2,3,66.7,1,0,0,0,1,4,3,0
Carlos Forbs,26,pt POR,LM,20-221,44,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,1
Rodrigo Gomes,19,pt POR,LM,21-111,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Craig Dawson,15,eng ENG,CB,34-173,90,2,0,1,1,0,1,2,50.0,1,4,3,1,2,4,5,0
Santiago Bueno,4,uy URU,CB,25-352,90,1,1,0,1,0,1,2,50.0,1,3,3,0,3,4,3,0
José Sá,1,pt POR,GK,31-283,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
