Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jørgen Strand Larsen,9,no NOR,FW,24-222,85,14,14,0,0,0,0,1,0,0,0,0,0,4,0,1
Gonçalo Guedes,29,pt POR,FW,27-291,5,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Matheus Cunha,10,br BRA,"RM,FW",25-111,90,31,27,4,0,0,0,10,1,2,0,2,0,19,0,3
Jean-Ricner Bellegarde,27,fr FRA,LM,26-080,70,18,18,0,0,0,1,1,0,0,0,0,0,15,0,1
Hwang Hee-chan,11,kr KOR,LM,28-233,20,8,7,1,0,0,0,1,1,0,0,0,0,8,0,0
João Gomes,8,br BRA,CM,23-216,90,54,53,1,1,0,0,1,0,0,0,0,0,50,0,0
André,7,br BRA,CM,23-061,76,40,40,0,0,1,1,0,0,0,0,0,0,40,0,0
Tommy Doyle,20,eng ENG,CM,22-334,14,20,19,1,0,0,0,1,0,1,0,1,0,18,0,0
Mario Lemina,5,ga GAB,"FW,RM,LB",31-014,90,37,31,5,0,2,0,2,3,0,0,0,0,31,1,1
Rayan Aït-Nouri,3,dz ALG,LB,23-101,85,49,39,9,1,0,0,1,7,1,0,0,0,41,1,0
Carlos Forbs,26,pt POR,"RM,LB",20-180,5,10,10,0,0,0,0,1,0,0,0,0,0,4,0,2
Craig Dawson,15,eng ENG,CB,34-132,90,58,53,5,2,1,2,0,0,0,0,0,0,46,0,0
Yerson Mosquera,14,co COL,CB,23-136,90,56,54,1,1,0,0,1,0,0,0,0,0,46,1,1
Nélson Semedo,22,pt POR,RB,30-304,76,25,20,5,0,0,0,1,5,0,0,0,0,23,0,0
Matt Doherty,2,ie IRL,RB,32-243,14,13,9,4,0,0,0,0,4,0,0,0,0,9,0,1
Sam Johnstone,31,eng ENG,GK,31-174,90,47,39,8,3,0,0,0,0,0,0,0,0,33,0,2
