Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Jørgen Strand Larsen,9,no NOR,FW,24-235,67,19,0,2,12,5,3,19,0,0,,0,,8,21,2,0,0,0,1,0,17,4
Hwang Hee-chan,11,kr KOR,FW,28-246,23,4,0,1,1,2,1,4,0,0,,0,,2,9,2,1,0,1,0,0,1,0
Jean-Ricner Bellegarde,27,fr FRA,LM,26-093,51,29,0,3,7,19,4,29,1,0,0.0,1,100.0,19,145,79,5,2,2,1,1,24,6
Carlos Forbs,26,pt POR,RM,20-193,39,14,0,1,4,9,3,14,2,1,50.0,1,50.0,9,61,46,2,0,2,2,0,11,6
João Gomes,8,br BRA,CM,23-229,90,44,1,9,26,12,1,44,0,0,,0,,20,141,90,4,4,1,1,1,29,3
Mario Lemina,5,ga GAB,"CM,CB",31-027,90,69,9,33,31,6,1,69,2,2,100.0,0,0.0,35,200,148,1,1,0,2,1,47,3
Matheus Cunha,10,br BRA,"RM,LM",25-124,90,43,0,2,18,24,4,43,2,1,50.0,0,0.0,28,305,93,2,3,2,8,1,32,7
André,7,br BRA,DM,23-074,90,44,5,18,25,2,0,44,1,1,100.0,0,0.0,20,103,46,0,0,0,3,2,30,0
Rayan Aït-Nouri,3,dz ALG,LB,23-114,90,61,7,19,25,19,1,61,1,0,0.0,1,100.0,27,152,72,4,4,0,0,0,31,3
Toti Gomes,24,pt POR,CB,25-256,90,60,13,26,33,1,0,60,0,0,,0,,37,228,164,1,0,0,0,0,49,0
Santiago Bueno,4,uy URU,CB,25-324,76,60,9,27,32,1,0,60,1,0,0.0,1,100.0,28,109,70,0,0,0,0,0,43,0
Tommy Doyle,20,eng ENG,CM,22-347,14,12,0,4,4,4,0,12,0,0,,0,,5,31,25,0,0,0,0,0,9,2
Nélson Semedo,22,pt POR,RB,30-317,90,54,3,19,27,8,0,54,2,2,100.0,0,0.0,23,140,67,1,0,0,1,0,31,1
Sam Johnstone,31,eng ENG,GK,31-187,90,48,40,46,2,0,0,48,0,0,,0,,33,210,145,0,0,0,0,0,27,0
